SampleID	NIJ-001A	NIJ-001B	NIJ-002A	NIJ-002B	NIJ-003A	NIJ-003B	NIJ-004A	NIJ-004B	NIJ-005A	NIJ-005B	NIJ-006A	NIJ-006B	NIJ-007A	NIJ-007B	NIJ-008A	NIJ-008B	NIJ-009A	NIJ-009B	NIJ-010A	NIJ-010B	NIJ-011A	NIJ-011B	NIJ-012A	NIJ-012B	NIJ-013A	NIJ-013B	NIJ-014A	NIJ-014B	NIJ-015A	NIJ-015B	NIJ-016A	NIJ-016B	NIJ-017A	NIJ-017B	NIJ-018A	NIJ-018B	NIJ-019A	NIJ-019B	NIJ-020A	NIJ-020B	NIJ-021A	NIJ-021B	NIJ-022A	NIJ-022B	NIJ-023A	NIJ-023B	NIJ-024A	NIJ-024B	NIJ-025A	NIJ-025B	NIJ-026A	NIJ-026B	NIJ-027A	NIJ-027B	NIJ-028A	NIJ-028B	NIJ-029A	NIJ-029B	NIJ-030A	NIJ-030B	NIJ-031A	NIJ-031B	NIJ-032A	NIJ-032B	NIJ-033A	NIJ-033B	NIJ-034A	NIJ-034B	NIJ-035A	NIJ-035B	NIJ-036A	NIJ-036B	NIJ-037A	NIJ-037B	NIJ-038A	NIJ-038B	NIJ-039A	NIJ-039B	NIJ-040A	NIJ-040B	NIJ-041A	NIJ-041B	NIJ-042A	NIJ-042B	NIJ-043A	NIJ-043B	NIJ-044A	NIJ-044B	NIJ-045A	NIJ-045B	NIJ-046A	NIJ-046B	NIJ-047A	NIJ-047B	NIJ-048A	NIJ-048B	NIJ-049A	NIJ-049B	NIJ-050A	NIJ-050B	NIJ-051A	NIJ-051B	NIJ-052A	NIJ-052B	NIJ-053A	NIJ-053B	NIJ-054A	NIJ-054B	NIJ-055A	NIJ-055B	NIJ-056A	NIJ-056B	NIJ-057A	NIJ-057B	NIJ-058A	NIJ-058B	NIJ-059A	NIJ-059B	NIJ-060A	NIJ-060B	NIJ-061A	NIJ-061B	NIJ-062A	NIJ-062B	NIJ-063A	NIJ-063B	NIJ-064A	NIJ-064B	NIJ-065A	NIJ-065B	NIJ-066A	NIJ-066B	NIJ-067A	NIJ-067B	NIJ-068A	NIJ-068B	NIJ-069A	NIJ-069B	NIJ-070A	NIJ-070B	NIJ-071A	NIJ-071B	NIJ-072A	NIJ-072B	NIJ-073A	NIJ-073B	NIJ-074A	NIJ-074B	NIJ-075A	NIJ-075B	NIJ-076A	NIJ-076B	NIJ-077A	NIJ-077B	NIJ-078A	NIJ-078B	NIJ-079A	NIJ-079B	NIJ-080A	NIJ-080B	NIJ-081A	NIJ-081B	NIJ-082A	NIJ-082B	NIJ-083A	NIJ-083B	NIJ-084A	NIJ-084B	NIJ-085A	NIJ-085B	NIJ-086A	NIJ-086B	NIJ-087A	NIJ-087B	NIJ-088A	NIJ-088B	NIJ-089A	NIJ-089B	NIJ-090A	NIJ-090B	NIJ-091A	NIJ-091B	NIJ-092A	NIJ-092B	NIJ-093A	NIJ-093B	NIJ-094A	NIJ-094B	NIJ-095A	NIJ-095B	NIJ-096A	NIJ-096B	NIJ-097A	NIJ-097B	NIJ-098A	NIJ-098B	NIJ-099A	NIJ-099B	NIJ-100A	NIJ-100B
77813f0f8fa1ca184e27e522a7736c2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b758cf0c8319af052aaa62e51a39d09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	259	706	351	611	425	53	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	166	231	130	294	0	29	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f286e2070273d8dfa3fa4373fccbdd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82f9800c2ce036e9f516e43dbd376051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	0	89	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a2965968a136477f9f235a423c877a97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f3a0f70ae14f29c6c55b9f1b31bca002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6eb573fbf4b7943b550ce69df1ce171e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4b699e07fd069073c571a7ae59055c07	7	14	38	246	22	14	5	0	0	0	0	0	21	28	0	48	0	0	0	0	6	11	0	18	0	0	0	0	7	0	6	0	24	15	0	0	20	0	0	9	0	0	10	0	679	0	0	0	0	19	0	0	22	0	0	0	0	0	32	0	13	0	25	0	0	0	0	0	0	0	0	10	0	0	23	0	19	28	0	0	0	5	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	37	0	37	25	27	0	0	0	12	0	0	0	0	0	0	0	0	17	0	9	0	0	0	14	10	8	0	0	0	0	12	0	7	0	11	0	0	0	9	0	7	0	10	30	0	0	0	0	0	8	15	30	0	0	0	38	0	0	0	0	12	0	0	0	0	0	0	13	11	9	0	0	0	0	4	0	0	0	9	0	10	0	0	59	0	0	0	21	0	0	22	39	0	17	25	0
306d39ef15a83c58cb9e675be8f09bdc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae9b49536c3ae2342eb68ed93686a626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0
